epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1563130187,07/14/2019 14:49:47 -04:00,3,43.6437,-70.2349,04106,"Heavy exhaust smell, maybe like gas",Nose irritation ,
1563153854,07/14/2019 21:24:14 -04:00,4,43.6218,-70.2714,04106,Oil,Lungs irritation ,
1563154682,07/14/2019 21:38:02 -04:00,5,43.6299,-70.2815,04106,"Coal, petroleum ","Lung irritation, cough",
1563154949,07/14/2019 21:42:29 -04:00,5,43.6324,-70.2873,04106,"Petroleum, diesel","Nose irritation, swelling, headache",
1563156180,07/14/2019 22:03:00 -04:00,4,43.6293,-70.2819,04106,Sweet almost pesticide like,"Eye irritation, cough",
1563157459,07/14/2019 22:24:19 -04:00,4,43.651,-70.2325,04106,VOC stench and fracking oil,"Throat ache, cough",
1563157761,07/14/2019 22:29:21 -04:00,5,43.6336,-70.284,04106,Oil fumes ,"Headache, sore throat and nausea ",
1563233225,07/15/2019 19:27:05 -04:00,4,43.6289,-70.2734,04106,,,
1563252942,07/16/2019 00:55:42 -04:00,3,43.6436,-70.2324,04106,Gasoline tank farm,"Walked near big light park earlier, had to turn back, too much gas fumes. Now has reached my home.",
1563279819,07/16/2019 08:23:39 -04:00,3,43.6456,-70.2714,04102,Grainy / smells like maltedGrain,,
1563403314,07/17/2019 18:41:54 -04:00,5,43.6202,-70.302,04106,Woodsmoke,,
1563428356,07/18/2019 01:39:16 -04:00,5,43.6317,-70.2875,04106,Oil,"Headache, nausea, can’t sleep ",
1563493827,07/18/2019 19:50:27 -04:00,5,43.6428,-70.2481,04106,Fumes,,
1563535233,07/19/2019 07:20:33 -04:00,1,43.6341,-70.2776,04106,,,
1563541849,07/19/2019 09:10:49 -04:00,4,43.6503,-70.2737,04102,Gasoline? Oil?,Cough,
1563665363,07/20/2019 19:29:23 -04:00,4,43.6424,-70.2896,04106,Oil,,
1563756091,07/21/2019 20:41:31 -04:00,3,43.6323,-70.2607,04106,,,
1563766244,07/21/2019 23:30:44 -04:00,4,43.6246,-70.2775,04106,"One hottest nights of year...windows sealed closed, thanks to tank fumes..",Breathing problem,
1563838126,07/22/2019 19:28:46 -04:00,2,43.6305,-70.2751,04106,,,
1563891312,07/23/2019 10:15:12 -04:00,4,43.6257,-70.2788,04106,Tank fume,Sick to stomach,
1563961642,07/24/2019 05:47:22 -04:00,3,43.6434,-70.2457,04106,Oil,Thick,
1563969942,07/24/2019 08:05:42 -04:00,4,43.6425,-70.2475,04106,,,
1564010679,07/24/2019 19:24:39 -04:00,3,43.6637,-70.2449,04101,Tank fumes,Nausea ,
1564022584,07/24/2019 22:43:04 -04:00,5,43.6427,-70.2337,04106,Petroleum product from tank farm,Nausea ,
1564022853,07/24/2019 22:47:33 -04:00,5,43.6474,-70.2321,04106,Tank farm ,"Irritation, ",
1564023057,07/24/2019 22:50:57 -04:00,5,43.6493,-70.2302,04106,Oil tanks,,Fuel barge came in 6pm. Bug light area was horrendous all evening.
1564053741,07/25/2019 07:22:21 -04:00,4,43.6199,-70.3001,04106,Gasoline fumes,,
1564056456,07/25/2019 08:07:36 -04:00,3,43.6269,-70.2779,04106,,,
1564062185,07/25/2019 09:43:05 -04:00,5,43.6389,-70.2323,04106,Sulfur last night early morning ,,
1564107783,07/25/2019 22:23:03 -04:00,3,43.6283,-70.2815,04106,Oil,,
1564108409,07/25/2019 22:33:29 -04:00,3,43.6218,-70.2702,04106,,,
1564138360,07/26/2019 06:52:40 -04:00,5,43.6427,-70.2441,04106,Oil fumes. Sulfur,,
1564185802,07/26/2019 20:03:22 -04:00,4,43.6632,-70.2412,04101,,,
1564195610,07/26/2019 22:46:50 -04:00,5,43.65,-70.234,04106,,,
1564271731,07/27/2019 19:55:31 -04:00,4,43.6418,-70.2907,04106,,,
1564275266,07/27/2019 20:54:26 -04:00,3,43.6651,-70.245,04101,,,
1564275312,07/27/2019 20:55:12 -04:00,3,43.6651,-70.2439,04101,Tank,,
1564283690,07/27/2019 23:14:50 -04:00,1,43.6316,-70.2719,04106,,,
1564372634,07/28/2019 23:57:14 -04:00,3,43.6334,-70.283,04106,Tank fumes,,
1564384608,07/29/2019 03:16:48 -04:00,4,43.6443,-70.2335,04106,Oil tanks ,,
1564393106,07/29/2019 05:38:26 -04:00,5,43.6439,-70.2333,04106,,Sealed windows shut ... again,
1564526388,07/30/2019 18:39:48 -04:00,1,43.6325,-70.26,04106,,,
1564556099,07/31/2019 02:54:59 -04:00,5,43.6699,-70.2546,04101,Chemicals,Headache,
1564569139,07/31/2019 06:32:19 -04:00,4,43.6429,-70.2461,04106,Sulfur oil fumes,Throat ,
1564659219,08/01/2019 07:33:39 -04:00,3,43.6386,-70.2533,04106,Sewer,Nausea ,
